source_rel,width,height,mode,png_bytes
images/CAGR/Corporate/corp_21.img.xbx,64,64,RGBA,2424
images/CAGR/Corporate/corp_22.img.xbx,64,64,RGBA,854
images/CAGR/Corporate/corp_23.img.xbx,64,64,RGBA,3025
images/CAGR/Corporate/corp_24.img.xbx,64,64,RGBA,2358
images/CAGR/Corporate/corp_25.img.xbx,64,64,RGBA,1564
images/CAGR/Corporate/corp_26.img.xbx,64,64,RGBA,3281
images/CAGR/Corporate/corp_27.img.xbx,64,64,RGBA,736
images/CAGR/Corporate/corp_28.img.xbx,64,64,RGBA,2628
images/CAGR/Corporate/corp_29.img.xbx,64,64,RGBA,2933
images/CAGR/Corporate/corp_3.img.xbx,64,64,RGBA,1334
images/CAGR/Corporate/corp_30.img.xbx,64,64,RGBA,3820
images/CAGR/Corporate/corp_31.img.xbx,64,64,RGBA,1624
images/CAGR/Corporate/corp_32.img.xbx,64,64,RGBA,1984
images/CAGR/Corporate/corp_33.img.xbx,64,64,RGBA,3848
images/CAGR/Corporate/corp_34.img.xbx,64,64,RGBA,4429
images/CAGR/Corporate/corp_35.img.xbx,64,64,RGBA,1735
images/CAGR/Corporate/corp_36.img.xbx,64,64,RGBA,3151
images/CAGR/Corporate/corp_37.img.xbx,64,64,RGBA,2975
images/CAGR/Corporate/corp_38.img.xbx,64,64,RGBA,7535
images/CAGR/Corporate/corp_39.img.xbx,64,64,RGBA,3583
images/CAGR/Corporate/corp_4.img.xbx,64,64,RGBA,3219
images/CAGR/Corporate/corp_5.img.xbx,64,64,RGBA,2017
images/CAGR/Corporate/corp_6.img.xbx,64,64,RGBA,1286
images/CAGR/Corporate/corp_7.img.xbx,64,64,RGBA,2496
images/CAGR/Corporate/corp_8.img.xbx,64,64,RGBA,2216
images/CAGR/Corporate/corp_9.img.xbx,64,64,RGBA,1897
images/CAGR/Graphics/grap_1.img.xbx,64,64,RGBA,2729
images/CAGR/Graphics/grap_10.img.xbx,64,64,RGBA,2895
images/CAGR/Graphics/grap_100.img.xbx,64,64,RGBA,3103
images/CAGR/Graphics/grap_101.img.xbx,64,64,RGBA,1852
images/CAGR/Graphics/grap_102.img.xbx,64,64,RGBA,2492
images/CAGR/Graphics/grap_103.img.xbx,64,64,RGBA,1740
images/CAGR/Graphics/grap_104.img.xbx,64,64,RGBA,2233
images/CAGR/Graphics/grap_105.img.xbx,64,64,RGBA,3155
images/CAGR/Graphics/grap_106.img.xbx,64,64,RGBA,2897
images/CAGR/Graphics/grap_107.img.xbx,64,64,RGBA,4989
images/CAGR/Graphics/grap_108.img.xbx,64,64,RGBA,1598
images/CAGR/Graphics/grap_109.img.xbx,64,64,RGBA,1507
images/CAGR/Graphics/grap_11.img.xbx,64,64,RGBA,3345
images/CAGR/Graphics/grap_110.img.xbx,64,64,RGBA,1593
images/CAGR/Graphics/grap_111.img.xbx,64,64,RGBA,2433
images/CAGR/Graphics/grap_112.img.xbx,64,64,RGBA,2283
images/CAGR/Graphics/grap_113.img.xbx,64,64,RGBA,3604
images/CAGR/Graphics/grap_114.img.xbx,64,64,RGBA,2405
images/CAGR/Graphics/grap_115.img.xbx,64,64,RGBA,2767
images/CAGR/Graphics/grap_12.img.xbx,64,64,RGBA,3015
images/CAGR/Graphics/grap_13.img.xbx,64,64,RGBA,2723
images/CAGR/Graphics/grap_14.img.xbx,64,64,RGBA,3999
images/CAGR/Graphics/grap_15.img.xbx,64,64,RGBA,2623
images/CAGR/Graphics/grap_16.img.xbx,64,64,RGBA,1696
images/CAGR/Graphics/grap_17.img.xbx,64,64,RGBA,3449
images/CAGR/Graphics/grap_18.img.xbx,64,64,RGBA,2438
images/CAGR/Graphics/grap_19.img.xbx,64,64,RGBA,1690
images/CAGR/Graphics/grap_2.img.xbx,64,64,RGBA,1376
images/CAGR/Graphics/grap_20.img.xbx,64,64,RGBA,2398
images/CAGR/Graphics/grap_21.img.xbx,64,64,RGBA,1686
images/CAGR/Graphics/grap_22.img.xbx,64,64,RGBA,2688
images/CAGR/Graphics/grap_23.img.xbx,64,64,RGBA,1500
images/CAGR/Graphics/grap_24.img.xbx,64,64,RGBA,2762
images/CAGR/Graphics/grap_25.img.xbx,64,64,RGBA,2269
images/CAGR/Graphics/grap_26.img.xbx,64,64,RGBA,3942
images/CAGR/Graphics/grap_27.img.xbx,64,64,RGBA,4462
images/CAGR/Graphics/grap_28.img.xbx,64,64,RGBA,2426
images/CAGR/Graphics/grap_29.img.xbx,64,64,RGBA,2845
images/CAGR/Graphics/grap_3.img.xbx,64,64,RGBA,3721
images/CAGR/Graphics/grap_30.img.xbx,64,64,RGBA,2663
images/CAGR/Graphics/grap_31.img.xbx,64,64,RGBA,2125
images/CAGR/Graphics/grap_32.img.xbx,64,64,RGBA,1866
images/CAGR/Graphics/grap_33.img.xbx,64,64,RGBA,2171
images/CAGR/Graphics/grap_34.img.xbx,64,64,RGBA,3505
images/CAGR/Graphics/grap_35.img.xbx,64,64,RGBA,2895
images/CAGR/Graphics/grap_36.img.xbx,64,64,RGBA,2738
images/CAGR/Graphics/grap_37.img.xbx,64,64,RGBA,4050
images/CAGR/Graphics/grap_38.img.xbx,64,64,RGBA,1919
images/CAGR/Graphics/grap_39.img.xbx,64,64,RGBA,3161
images/CAGR/Graphics/grap_4.img.xbx,64,64,RGBA,4349
images/CAGR/Graphics/grap_40.img.xbx,64,64,RGBA,2276
images/CAGR/Graphics/grap_41.img.xbx,64,64,RGBA,1566
images/CAGR/Graphics/grap_42.img.xbx,64,64,RGBA,3702
images/CAGR/Graphics/grap_43.img.xbx,64,64,RGBA,2179
images/CAGR/Graphics/grap_44.img.xbx,64,64,RGBA,2849
images/CAGR/Graphics/grap_45.img.xbx,64,64,RGBA,2026
images/CAGR/Graphics/grap_46.img.xbx,64,64,RGBA,2524
images/CAGR/Graphics/grap_47.img.xbx,64,64,RGBA,2036
images/CAGR/Graphics/grap_48.img.xbx,64,64,RGBA,3689
images/CAGR/Graphics/grap_49.img.xbx,64,64,RGBA,3592
images/CAGR/Graphics/grap_5.img.xbx,64,64,RGBA,1843
images/CAGR/Graphics/grap_50.img.xbx,64,64,RGBA,2731
images/CAGR/Graphics/grap_51.img.xbx,64,64,RGBA,1617
images/CAGR/Graphics/grap_52.img.xbx,64,64,RGBA,1722
images/CAGR/Graphics/grap_53.img.xbx,64,64,RGBA,2253
images/CAGR/Graphics/grap_54.img.xbx,64,64,RGBA,2616
images/CAGR/Graphics/grap_55.img.xbx,64,64,RGBA,2836
images/CAGR/Graphics/grap_56.img.xbx,64,64,RGBA,2479
images/CAGR/Graphics/grap_57.img.xbx,64,64,RGBA,2984
images/CAGR/Graphics/grap_58.img.xbx,64,64,RGBA,2568
